iter	Passed	Remaining
0	202	202235
1	204	102137
2	206	68667
3	208	51905
4	210	41844
5	212	35122
6	214	30405
7	216	26857
8	218	24092
9	221	21923
10	226	20339
11	228	18826
12	230	17507
13	232	16379
14	234	15405
15	236	14548
16	238	13805
17	240	13129
18	242	12528
19	244	11983
20	246	11489
21	248	11031
22	250	10622
23	252	10275
24	254	9916
25	255	9582
26	257	9277
27	259	8996
28	261	8739
29	262	8486
30	264	8255
31	266	8050
32	268	7853
33	269	7668
34	272	7502
35	273	7334
36	275	7175
37	277	7023
38	279	6883
39	281	6744
40	282	6616
41	285	6502
42	287	6388
43	289	6280
44	291	6176
45	293	6079
46	295	5982
47	296	5890
48	298	5800
49	300	5715
50	302	5631
51	304	5553
52	306	5481
53	308	5405
54	310	5336
55	312	5268
56	314	5202
57	316	5137
58	318	5074
59	320	5013
60	321	4954
61	324	4902
62	325	4847
63	327	4794
64	329	4742
65	331	4691
66	333	4647
67	335	4603
68	337	4557
69	340	4518
70	342	4475
71	344	4435
72	346	4395
73	348	4359
74	350	4322
75	352	4285
76	354	4248
77	356	4212
78	358	4174
79	359	4138
80	361	4106
81	363	4073
82	365	4041
83	367	4012
84	369	3982
85	372	3953
86	374	3925
87	376	3901
88	378	3870
89	380	3842
90	382	3816
91	383	3788
92	385	3763
93	387	3736
94	389	3712
95	391	3686
96	392	3656
97	394	3627
98	395	3603
99	397	3581
100	399	3557
101	401	3533
102	403	3514
103	405	3492
104	407	3471
105	409	3450
106	410	3429
107	412	3409
108	414	3388
109	416	3369
110	418	3349
111	419	3329
112	421	3310
113	423	3293
114	425	3276
115	427	3259
116	429	3243
117	431	3228
118	433	3210
119	435	3194
120	437	3178
121	439	3162
122	441	3147
123	443	3133
124	445	3120
125	447	3107
126	450	3095
127	452	3083
128	454	3071
129	457	3058
130	459	3047
131	461	3037
132	464	3027
133	466	3016
134	468	3003
135	470	2991
136	472	2978
137	475	2968
138	477	2955
139	479	2942
140	481	2930
141	483	2919
142	484	2904
143	490	2917
144	497	2936
145	510	2984
146	515	2989
147	523	3011
148	530	3031
149	532	3019
150	537	3020
151	539	3009
152	545	3020
153	554	3044
154	562	3064
155	566	3065
156	569	3060
157	575	3066
158	577	3054
159	580	3045
160	582	3036
161	585	3028
162	588	3020
163	590	3010
164	592	2998
165	594	2988
166	596	2977
167	599	2967
168	601	2956
169	604	2949
170	606	2942
171	608	2931
172	610	2919
173	614	2917
174	617	2912
175	619	2902
176	621	2892
177	623	2881
178	625	2870
179	627	2860
180	630	2850
181	631	2840
182	633	2829
183	635	2819
184	637	2809
185	639	2798
186	641	2788
187	643	2780
188	646	2774
189	648	2764
190	650	2755
191	652	2747
192	654	2738
193	657	2730
194	659	2721
195	661	2712
196	663	2703
197	665	2693
198	666	2684
199	668	2673
200	670	2664
201	673	2658
202	675	2651
203	677	2643
204	679	2635
205	681	2625
206	683	2616
207	684	2607
208	686	2599
209	688	2591
210	690	2582
211	692	2573
212	693	2563
213	695	2553
214	696	2544
215	698	2535
216	700	2526
217	702	2519
218	704	2510
219	705	2502
220	707	2494
221	709	2485
222	710	2476
223	712	2467
224	714	2459
225	715	2451
226	717	2443
227	719	2436
228	721	2428
229	723	2420
230	724	2412
231	726	2404
232	728	2397
233	729	2389
234	731	2380
235	733	2374
236	735	2366
237	736	2358
238	738	2350
239	739	2342
240	741	2334
241	743	2328
242	744	2320
243	746	2313
244	748	2306
245	750	2299
246	751	2292
247	753	2285
248	755	2278
249	757	2271
250	759	2265
251	760	2258
252	762	2251
253	764	2245
254	766	2238
255	767	2231
256	769	2225
257	771	2219
258	773	2212
259	775	2206
260	776	2199
261	778	2193
262	780	2186
263	781	2179
264	783	2173
265	785	2167
266	787	2160
267	788	2154
268	790	2148
269	792	2142
270	794	2136
271	795	2129
272	797	2123
273	799	2117
274	800	2110
275	802	2104
276	803	2098
277	805	2092
278	807	2086
279	809	2080
280	810	2074
281	812	2069
282	814	2063
283	816	2058
284	818	2052
285	819	2047
286	821	2040
287	823	2035
288	825	2030
289	826	2024
290	828	2019
291	830	2013
292	832	2008
293	834	2002
294	835	1997
295	837	1991
296	839	1986
297	840	1980
298	842	1975
299	844	1970
300	846	1965
301	848	1960
302	850	1955
303	851	1950
304	853	1945
305	855	1940
306	857	1935
307	859	1930
308	860	1924
309	862	1919
310	864	1914
311	865	1909
312	867	1904
313	869	1899
314	871	1894
315	873	1889
316	874	1884
317	876	1879
318	878	1875
319	880	1870
320	882	1865
321	883	1860
322	885	1856
323	887	1851
324	889	1846
325	890	1841
326	892	1836
327	893	1831
328	895	1826
329	897	1821
330	898	1816
331	900	1811
332	902	1807
333	903	1802
334	905	1797
335	907	1792
336	908	1788
337	910	1783
338	912	1778
339	913	1774
340	915	1769
341	917	1764
342	919	1760
343	920	1756
344	922	1751
345	924	1746
346	925	1741
347	927	1737
348	928	1732
349	929	1727
350	931	1722
351	932	1717
352	934	1712
353	936	1708
354	937	1703
355	939	1698
356	940	1694
357	942	1690
358	944	1685
359	945	1681
360	947	1676
361	948	1671
362	949	1666
363	951	1662
364	953	1658
365	954	1653
366	955	1648
367	957	1644
368	958	1639
369	960	1635
370	962	1631
371	963	1626
372	965	1622
373	966	1617
374	968	1613
375	969	1609
376	971	1605
377	972	1600
378	973	1595
379	975	1591
380	976	1587
381	978	1583
382	980	1579
383	981	1575
384	983	1571
385	985	1567
386	986	1563
387	988	1558
388	989	1554
389	991	1550
390	993	1547
391	994	1542
392	996	1538
393	997	1534
394	999	1530
395	1000	1525
396	1001	1521
397	1003	1517
398	1004	1513
399	1006	1510
400	1008	1506
401	1010	1502
402	1011	1498
403	1013	1495
404	1015	1491
405	1017	1488
406	1018	1484
407	1020	1480
408	1022	1477
409	1024	1474
410	1025	1470
411	1027	1466
412	1028	1462
413	1030	1458
414	1032	1455
415	1033	1451
416	1035	1447
417	1037	1444
418	1039	1441
419	1042	1438
420	1043	1435
421	1045	1432
422	1047	1428
423	1049	1425
424	1052	1423
425	1055	1421
426	1056	1418
427	1058	1414
428	1059	1410
429	1061	1407
430	1063	1403
431	1064	1400
432	1066	1396
433	1068	1393
434	1070	1390
435	1071	1386
436	1073	1382
437	1075	1379
438	1076	1375
439	1078	1372
440	1080	1368
441	1081	1365
442	1083	1362
443	1085	1359
444	1086	1355
445	1088	1352
446	1090	1348
447	1092	1345
448	1093	1342
449	1095	1339
450	1097	1336
451	1099	1332
452	1101	1329
453	1102	1326
454	1104	1322
455	1106	1319
456	1107	1316
457	1109	1312
458	1111	1309
459	1113	1306
460	1115	1303
461	1117	1301
462	1120	1299
463	1122	1296
464	1124	1293
465	1125	1290
466	1128	1288
467	1130	1285
468	1132	1282
469	1134	1278
470	1135	1275
471	1137	1272
472	1139	1269
473	1140	1266
474	1142	1263
475	1144	1259
476	1146	1256
477	1147	1253
478	1149	1250
479	1151	1247
480	1153	1244
481	1154	1241
482	1156	1238
483	1158	1235
484	1159	1231
485	1161	1228
486	1163	1225
487	1165	1222
488	1166	1219
489	1168	1216
490	1170	1212
491	1171	1209
492	1173	1206
493	1175	1203
494	1177	1200
495	1178	1197
496	1180	1194
497	1181	1191
498	1183	1188
499	1185	1185
500	1186	1182
501	1188	1178
502	1190	1175
503	1191	1172
504	1193	1169
505	1195	1166
506	1197	1164
507	1199	1161
508	1201	1158
509	1202	1155
510	1204	1152
511	1206	1149
512	1208	1146
513	1209	1143
514	1211	1140
515	1212	1137
516	1214	1134
517	1216	1131
518	1217	1128
519	1219	1125
520	1221	1123
521	1223	1120
522	1224	1117
523	1226	1114
524	1228	1111
525	1229	1108
526	1231	1105
