iter	RMSE
0	14.84789272
1	14.47558786
2	14.09766365
3	13.73356032
4	13.3932442
5	13.11283631
6	12.80722927
7	12.52429365
8	12.26328511
9	11.97436215
10	11.68391967
11	11.43872817
12	11.21883158
13	10.98653866
14	10.75086447
15	10.51148327
16	10.28566942
17	10.06659909
18	9.860296191
19	9.673303528
20	9.517982738
21	9.348874064
22	9.176813603
23	9.007212829
24	8.850887475
25	8.698300505
26	8.560678224
27	8.422925571
28	8.288362772
29	8.167144734
30	8.060399574
31	7.951139731
32	7.841105818
33	7.738008024
34	7.633752115
35	7.53517584
36	7.433834358
37	7.357397732
38	7.275822925
39	7.203149369
40	7.123488932
41	7.06414074
42	6.989095511
43	6.931929451
44	6.860526231
45	6.798417559
46	6.737586438
47	6.677658451
48	6.615922101
49	6.561735425
50	6.511536943
51	6.456641149
52	6.407053678
53	6.357322431
54	6.314880365
55	6.276716306
56	6.231071064
57	6.193522725
58	6.157771532
59	6.120310725
60	6.085401517
61	6.045908397
62	6.008329434
63	5.970197024
64	5.941995609
65	5.911827074
66	5.88555589
67	5.857233729
68	5.830294023
69	5.810207058
70	5.782169947
71	5.761138164
72	5.736646665
73	5.710334774
74	5.688955979
75	5.667906221
76	5.651341872
77	5.627854241
78	5.612379766
79	5.592923562
80	5.575278438
81	5.562087624
82	5.541963435
83	5.529675343
84	5.512090713
85	5.492885997
86	5.475957942
87	5.463209241
88	5.447303393
89	5.432393321
90	5.415368776
91	5.405744678
92	5.392408242
93	5.38386468
94	5.368981625
95	5.35421071
96	5.341530695
97	5.328462995
98	5.318949155
99	5.31001686
100	5.29672604
101	5.286625096
102	5.27575432
103	5.265522255
104	5.255761709
105	5.243653862
106	5.235518505
107	5.227743001
108	5.220383053
109	5.212615792
110	5.199687432
111	5.19425538
112	5.185332364
113	5.178140726
114	5.172227314
115	5.165509595
116	5.158553313
117	5.151118855
118	5.144305341
119	5.138114484
120	5.133670746
121	5.127177518
122	5.1210582
123	5.117694405
124	5.108914234
125	5.103833791
126	5.098259342
127	5.092314505
128	5.081470914
129	5.077511239
130	5.069328138
131	5.063254287
132	5.056487493
133	5.046974467
134	5.041524141
135	5.03881229
136	5.032931804
137	5.027122216
138	5.024986565
139	5.018628895
140	5.009644659
141	5.005982857
142	5.000722286
143	4.993903588
144	4.987000253
145	4.982615564
146	4.974878953
147	4.970127819
148	4.966434508
149	4.960954758
150	4.95701363
151	4.953626395
152	4.948176338
153	4.943816281
154	4.939846672
155	4.936702263
156	4.93245743
157	4.927926728
158	4.921516987
159	4.916609465
160	4.913578993
161	4.909931764
162	4.905671271
163	4.902311684
164	4.898263645
165	4.895525145
166	4.891521088
167	4.887282167
168	4.883717315
169	4.881198958
