iter	Passed	Remaining
0	2	2065
1	3	1852
2	5	1749
3	6	1709
4	8	1674
5	9	1644
6	11	1663
7	13	1679
8	15	1673
9	16	1645
10	18	1626
11	19	1608
12	20	1585
13	22	1571
14	23	1552
15	25	1544
16	27	1563
17	28	1567
18	30	1562
19	31	1551
20	33	1542
21	34	1535
22	35	1523
23	37	1514
24	38	1507
25	40	1500
26	41	1508
27	43	1516
28	45	1513
29	46	1509
30	48	1501
31	49	1497
32	50	1489
33	52	1478
34	53	1468
35	54	1458
36	56	1458
37	57	1456
38	58	1451
39	60	1444
40	61	1436
41	62	1429
42	63	1421
43	65	1414
44	66	1408
45	67	1396
46	68	1390
47	70	1391
48	71	1394
49	73	1392
50	74	1386
51	75	1380
52	76	1373
53	78	1369
54	79	1364
55	80	1358
56	81	1353
57	83	1351
58	84	1346
59	86	1347
60	87	1346
61	88	1343
62	90	1340
63	91	1339
64	92	1335
65	94	1331
66	95	1327
67	96	1323
68	97	1321
69	99	1316
70	100	1316
71	102	1318
72	103	1314
73	104	1311
74	105	1307
75	107	1303
76	108	1299
77	109	1296
78	110	1292
79	112	1291
80	113	1288
81	114	1284
82	116	1285
83	117	1285
84	119	1282
85	120	1278
86	121	1275
87	122	1272
88	123	1269
89	125	1265
90	126	1264
91	127	1262
92	129	1259
93	130	1254
94	131	1255
95	133	1253
96	134	1250
97	135	1247
98	136	1244
99	137	1241
100	139	1239
101	140	1238
102	141	1235
103	143	1232
104	144	1230
105	145	1229
106	147	1229
107	148	1226
108	149	1224
109	150	1221
110	152	1219
111	153	1214
112	154	1213
113	155	1211
114	157	1208
115	158	1206
116	159	1203
117	161	1203
118	162	1202
119	163	1199
120	164	1197
121	166	1195
122	167	1193
123	168	1192
124	170	1190
125	171	1187
126	172	1184
127	173	1182
128	175	1181
129	176	1181
130	177	1180
131	179	1180
132	180	1178
133	182	1180
134	183	1178
135	184	1173
136	186	1171
137	187	1169
138	188	1167
139	189	1166
140	191	1167
141	192	1165
142	194	1163
143	195	1161
144	196	1159
145	197	1157
146	199	1155
147	200	1153
148	201	1151
149	202	1148
150	204	1147
151	205	1146
152	207	1146
153	208	1144
154	209	1142
155	210	1141
156	212	1139
157	213	1136
158	214	1134
159	215	1132
160	217	1130
161	218	1128
162	219	1127
163	221	1126
164	222	1126
165	223	1125
166	225	1123
167	226	1121
168	227	1119
169	228	1117
170	230	1115
171	231	1113
172	232	1112
173	233	1110
174	235	1108
175	236	1108
176	238	1108
177	239	1107
178	241	1106
179	242	1104
180	243	1100
181	244	1099
182	245	1097
183	247	1095
184	248	1093
185	249	1092
186	251	1091
187	252	1091
188	254	1090
189	255	1090
190	257	1089
191	258	1087
192	259	1086
193	261	1085
194	262	1084
195	264	1083
196	266	1084
197	267	1084
198	269	1083
199	270	1082
200	271	1080
201	273	1079
202	274	1078
203	276	1077
204	277	1076
205	278	1074
206	280	1075
207	282	1075
208	283	1073
209	285	1073
210	286	1072
211	288	1071
212	289	1069
213	290	1068
214	292	1066
215	294	1067
216	295	1067
217	297	1065
218	298	1064
219	300	1063
220	301	1062
221	302	1061
222	304	1059
223	305	1058
224	306	1056
225	308	1056
226	310	1056
227	311	1055
228	313	1055
229	314	1054
230	316	1053
231	317	1052
232	319	1050
233	320	1049
234	322	1048
235	323	1046
236	324	1045
237	326	1044
238	327	1042
239	328	1040
240	329	1038
241	331	1036
242	332	1034
243	333	1033
244	334	1031
245	336	1030
246	337	1029
247	339	1028
248	340	1028
249	342	1027
250	343	1025
251	344	1023
252	346	1021
253	347	1019
254	348	1018
255	349	1016
256	351	1015
257	352	1013
258	353	1011
259	355	1010
260	356	1009
261	357	1007
262	358	1004
263	359	1002
264	360	1000
265	362	999
266	363	998
267	365	997
268	366	996
269	367	994
270	369	993
271	370	992
272	372	991
273	373	990
274	375	989
275	376	988
276	378	987
277	380	987
278	381	986
279	382	984
280	384	983
281	385	982
282	387	980
283	388	978
284	389	976
285	393	981
286	395	981
287	396	981
288	398	980
289	400	980
290	402	979
291	403	978
292	405	977
293	406	976
294	408	975
295	409	973
296	410	972
297	411	970
298	413	969
299	415	968
300	416	967
301	417	965
302	419	963
303	420	962
304	421	960
305	422	958
306	423	957
307	425	955
308	426	953
309	427	951
310	429	950
311	430	949
312	431	947
313	433	945
314	434	944
315	435	942
316	436	941
317	438	939
318	439	937
319	440	936
320	441	934
321	443	933
322	444	932
323	446	930
324	447	930
325	449	929
326	450	927
327	451	925
328	453	924
329	454	922
330	455	920
331	456	919
332	458	917
333	459	916
334	461	915
335	462	914
336	464	913
337	465	911
338	466	910
339	468	908
340	469	906
341	470	905
342	472	904
343	473	902
344	475	902
345	477	901
346	478	900
347	480	899
348	481	897
349	482	896
350	484	895
351	485	893
352	486	891
353	488	891
354	490	890
355	491	889
356	492	887
357	494	885
358	495	884
359	496	882
360	497	881
361	499	879
362	500	877
363	501	876
364	502	874
365	504	874
366	505	872
367	507	871
368	508	869
369	509	867
370	510	866
371	512	864
372	513	862
373	514	861
374	515	859
375	517	858
376	519	857
377	520	856
378	521	854
379	522	853
380	524	851
381	525	849
382	526	848
383	527	846
384	528	845
385	530	843
386	531	841
387	533	841
388	534	839
389	535	838
390	537	836
391	538	835
392	539	833
393	540	832
394	542	830
395	543	828
396	544	827
397	545	825
398	547	824
399	549	823
400	550	822
401	551	820
402	552	819
403	554	817
404	555	816
405	556	814
406	557	812
407	558	811
408	560	809
409	561	808
410	563	807
411	564	805
412	566	804
413	567	803
414	568	801
415	569	800
416	571	798
417	572	796
418	573	795
419	574	793
420	576	792
421	577	790
422	578	789
423	580	788
424	581	786
425	582	785
426	583	783
427	585	782
428	586	780
429	587	778
430	589	777
431	590	776
432	591	774
433	593	773
434	594	772
435	595	770
436	597	769
437	598	767
438	599	766
439	600	764
440	601	763
441	603	761
442	604	760
443	605	758
444	607	757
445	608	755
446	609	754
447	611	753
448	612	751
449	613	749
450	614	748
451	616	746
452	617	745
453	618	744
454	620	742
455	621	741
456	622	739
457	624	738
458	625	737
459	626	735
460	627	734
461	629	732
462	630	731
463	631	729
464	632	728
465	634	726
466	635	725
467	636	723
468	638	722
469	639	721
470	641	720
471	642	718
472	644	717
473	645	716
474	646	714
475	648	713
476	649	711
477	650	710
478	651	708
479	653	707
480	654	706
481	656	705
482	657	703
483	658	702
484	660	701
485	661	699
486	662	698
487	663	696
488	665	695
489	666	693
490	667	692
491	669	691
492	670	689
493	671	688
494	673	687
495	675	686
496	676	684
497	678	683
498	679	682
499	681	681
500	682	680
501	684	678
502	685	677
503	687	676
504	688	674
505	689	673
506	691	672
507	692	670
508	693	669
509	694	667
510	696	666
511	697	664
512	699	663
513	700	662
514	701	661
515	703	659
516	704	658
517	705	656
518	706	655
519	708	653
520	709	652
521	710	650
522	711	649
523	713	648
524	715	647
525	716	645
526	717	644
527	718	642
528	720	641
529	721	639
530	722	638
531	723	636
532	725	635
533	726	633
534	727	632
535	729	631
536	730	629
537	731	628
538	733	626
539	734	625
540	735	623
541	736	622
542	737	621
543	739	619
544	740	618
545	741	616
546	743	615
547	745	614
548	746	613
549	747	611
550	748	610
551	749	608
552	751	607
553	752	605
554	753	604
555	754	602
556	756	601
557	757	599
558	759	598
559	760	597
560	762	596
561	763	595
562	764	593
563	766	592
564	767	590
565	768	589
566	769	587
567	771	586
568	772	585
569	774	584
570	775	582
571	776	581
572	778	579
573	779	578
574	780	576
575	781	575
576	783	574
577	784	572
578	785	571
579	787	570
580	788	568
581	790	567
582	791	565
583	792	564
584	793	563
585	794	561
586	796	560
587	797	558
588	798	557
589	800	555
590	801	554
591	802	553
592	804	551
593	805	550
594	806	549
595	807	547
596	809	546
597	810	544
598	811	543
599	813	542
600	814	540
601	816	539
602	818	538
603	820	537
604	821	536
605	822	534
606	823	533
607	825	532
608	827	530
609	828	529
610	830	529
611	834	528
612	835	527
613	837	526
614	839	525
615	840	524
616	842	522
617	843	521
618	844	519
619	846	518
620	847	517
621	848	515
622	850	514
623	851	513
624	853	512
625	855	511
626	857	509
627	858	508
628	859	507
629	861	505
630	862	504
631	864	503
632	865	501
633	867	500
634	868	499
635	869	497
636	871	496
637	872	495
638	873	493
639	875	492
640	876	490
641	878	489
642	879	488
643	881	487
644	882	485
645	884	484
646	885	483
647	886	481
648	888	480
649	889	479
650	890	477
651	892	476
652	894	475
